Google Drive,GitHub,Glossary,,,,,,
concepts - EN,Subtitle ID,YouTube,China S3,校对,期限,审核,期限,lesson name
Welcome to IPND,71IlxP6GqGY,https://www.youtube.com/watch?v=71IlxP6GqGY,https://s3.cn-north-1.amazonaws.com.cn/u-vid-hd/71IlxP6GqGY.mp4,王康龙,已完成,杨亮,已完成,Welcome to the Nanodegree
Something Important,P-E-7vcn1Vc,https://www.youtube.com/watch?v=P-E-7vcn1Vc,https://s3.cn-north-1.amazonaws.com.cn/u-vid-hd/P-E-7vcn1Vc.mp4,王康龙,已完成,杨亮,已完成,Welcome to the Nanodegree
Nanodegree Overview,olBtSrKKz-E,https://www.youtube.com/watch?v=olBtSrKKz-E,https://s3.cn-north-1.amazonaws.com.cn/u-vid-hd/olBtSrKKz-E.mp4,王康龙,已完成,杨亮,已完成,Welcome to the Nanodegree
Thinking Like a Programmer,aJU6VGa4XHw,https://www.youtube.com/watch?v=aJU6VGa4XHw,https://s3.cn-north-1.amazonaws.com.cn/u-vid-hd/aJU6VGa4XHw.mp4,王康龙,已完成,杨亮,已完成,Welcome to the Nanodegree
Meet Andy,E7YJ5L_CMU0,https://www.youtube.com/watch?v=E7YJ5L_CMU0,https://s3.cn-north-1.amazonaws.com.cn/u-vid-hd/E7YJ5L_CMU0.mp4,王康龙,已完成,杨亮,已完成,Welcome to the Nanodegree
,,,,,,,,
Introduction,fxNSn63xFvA,https://www.youtube.com/watch?v=fxNSn63xFvA,https://s3.cn-north-1.amazonaws.com.cn/u-vid-hd/fxNSn63xFvA.mp4,王康龙,已完成,杨亮,已完成,Nanodegree Orientation
Projects and Progress,Z9ZLMQWsbsk,https://www.youtube.com/watch?v=Z9ZLMQWsbsk,https://s3.cn-north-1.amazonaws.com.cn/u-vid-hd/Z9ZLMQWsbsk.mp4,王康龙,已完成,杨亮,已完成,Nanodegree Orientation
How Does Project Submission Work?,jCJa_VP6qgg,https://www.youtube.com/watch?v=jCJa_VP6qgg,https://s3.cn-north-1.amazonaws.com.cn/u-vid-hd/jCJa_VP6qgg.mp4,王康龙,已完成,杨亮,已完成,Nanodegree Orientation
Integrity and Mindset,zCOr3O50gQM,https://www.youtube.com/watch?v=zCOr3O50gQM,https://s3.cn-north-1.amazonaws.com.cn/u-vid-hd/zCOr3O50gQM.mp4,王康龙,已完成,杨亮,已完成,Nanodegree Orientation
Time Commitment,d-VfUw7wNEQ,https://www.youtube.com/watch?v=d-VfUw7wNEQ,https://s3.cn-north-1.amazonaws.com.cn/u-vid-hd/d-VfUw7wNEQ.mp4,王康龙,已完成,杨亮,已完成,Nanodegree Orientation
Final Tips,1ZVBvM54hQw,https://www.youtube.com/watch?v=1ZVBvM54hQw,https://s3.cn-north-1.amazonaws.com.cn/u-vid-hd/1ZVBvM54hQw.mp4,王康龙,已完成,杨亮,已完成,Nanodegree Orientation
,,,,,,,,
